task,representation,model,seed,AUC,PR_AUC,BalAcc,Accuracy,F1,Precision_0,Recall_0,Precision_1,Recall_1,MacroF1,Precision_2,Recall_2
renewed_4y,KG+META,XGB,7,0.6454639712358567,0.9274898893904086,0.5028467546195047,0.8872686483454851,0.9402248260274787,0.75,0.005946481665014866,0.8873919389244415,0.9997470275739945,,,
renewed_4y,KG+META,LR,8,0.6095729128458596,0.9164317910059505,0.5008013509579983,0.8867077958496915,0.9399381541389153,0.4,0.0019821605550049554,0.8869809203142537,0.9996205413609917,,,
renewed_4y,KG+META,XGB,8,0.6493599095617308,0.9285209156423895,0.5028467546195047,0.8872686483454851,0.9402248260274787,0.75,0.005946481665014866,0.8873919389244415,0.9997470275739945,,,
renewed_4y,KG+META,LR,9,0.6095729128458596,0.9164317910059505,0.5008013509579983,0.8867077958496915,0.9399381541389153,0.4,0.0019821605550049554,0.8869809203142537,0.9996205413609917,,,
renewed_4y,KG+META,XGB,9,0.6452880312953717,0.9269795392067206,0.502909997726006,0.8873808188446438,0.9402878553586297,0.8571428571428571,0.005946481665014866,0.8874045801526718,0.9998735137869972,,,
renewed_4y,FULL,LR,0,0.5960566888892956,0.9124508555531516,0.5127479675082116,0.884127874369041,0.9382583228737075,0.36666666666666664,0.03270564915758176,0.8894050991501417,0.9927902858588414,,,
renewed_4y,FULL,XGB,0,0.6438953666934348,0.9257076305787136,0.5024777006937562,0.8873808188446438,0.9402949571836346,1.0,0.004955401387512388,0.887317620650954,1.0,,,
renewed_4y,FULL,LR,1,0.5960566888892956,0.9124508555531516,0.5127479675082116,0.884127874369041,0.9382583228737075,0.36666666666666664,0.03270564915758176,0.8894050991501417,0.9927902858588414,,,
renewed_4y,FULL,XGB,1,0.6436874604652236,0.9260769593337005,0.5024777006937562,0.8873808188446438,0.9402949571836346,1.0,0.004955401387512388,0.887317620650954,1.0,,,
renewed_4y,FULL,LR,2,0.5960566888892956,0.9124508555531516,0.5127479675082116,0.884127874369041,0.9382583228737075,0.36666666666666664,0.03270564915758176,0.8894050991501417,0.9927902858588414,,,
